시군,시도,용도지역구분,용도지역,건폐율_값,건폐율_단위,건폐율_출처조문,용적률_값,용적률_단위,용적률_출처조문,시행일,조례번호,조회일
하동군,경남,농림지역,농림지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2026.4.24,2741,2026-09-21
하동군,경남,자연환경보전지역,자연환경보전지역,20,% 이하,제30조제1항,80,% 이하,제33조제1항,2026.4.24,2741,2026-09-21
수원시,경기,도시지역-주거,제1종전용주거지역,40,% 이하,제66조제1항,100,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-주거,제2종전용주거지역,30,% 이하,제66조제1항,150,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-주거,제1종일반주거지역,60,% 이하,제66조제1항,200,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-주거,제2종일반주거지역,60,% 이하,제66조제1항,250,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-주거,제3종일반주거지역,40,% 이하,제66조제1항,300,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-주거,준주거지역,70,% 이하,제66조제1항,400,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-상업,중심상업지역,90,% 이하,제66조제1항,1000,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-상업,일반상업지역,80,% 이하,제66조제1항,800,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-상업,근린상업지역,70,% 이하,제66조제1항,600,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-상업,유통상업지역,60,% 이하,제66조제1항,400,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-공업,전용공업지역,70,% 이하,제66조제1항,300,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-공업,일반공업지역,60,% 이하,제66조제1항,350,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-공업,준공업지역,60,% 이하,제66조제1항,400,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-녹지,보전녹지지역,20,% 이하,제66조제1항,50,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-녹지,생산녹지지역,20,% 이하,제66조제1항,100,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
수원시,경기,도시지역-녹지,자연녹지지역,20,% 이하,제66조제1항,100,% 이하,제70조제1항,2025.12.31,4816,2026-09-21
고양시,경기,도시지역-주거,제1종전용주거지역,50,% 이하,제56조제1항,100,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-주거,제2종전용주거지역,50,% 이하,제56조제1항,150,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-주거,제1종일반주거지역,60,% 이하,제56조제1항,180,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-주거,제2종일반주거지역,60,% 이하,제56조제1항,230,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-주거,제3종일반주거지역,50,% 이하,제56조제1항,250,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-주거,준주거지역,60,% 이하,제56조제1항,380,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-상업,중심상업지역,80,% 이하,제56조제1항,1200,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-상업,일반상업지역,70,% 이하,제56조제1항,900,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-상업,근린상업지역,60,% 이하,제56조제1항,700,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-상업,유통상업지역,70,% 이하,제56조제1항,400,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-공업,전용공업지역,70,% 이하,제56조제1항,300,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-공업,일반공업지역,70,% 이하,제56조제1항,350,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-공업,준공업지역,70,% 이하,제56조제1항,400,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-녹지,보전녹지지역,20,% 이하,제56조제1항,50,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-녹지,생산녹지지역,20,% 이하,제56조제1항,90,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,도시지역-녹지,자연녹지지역,20,% 이하,제56조제1항,100,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,관리지역,보전관리지역,20,% 이하,제56조제1항,80,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,관리지역,생산관리지역,20,% 이하,제56조제1항,80,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,관리지역,계획관리지역,40,% 이하,제56조제1항,100,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,농림지역,농림지역,20,% 이하,제56조제1항,80,% 이하,제61조제1항,2025.11.14,2967,2026-09-21
고양시,경기,자연환경보전지역,자연환경보전지역,20,% 이하,제56조제1항,,,제61조제1항,2025.11.14,2967,2026-09-21
산청군,경남,도시지역-주거,제1종전용주거지역,50,% 이하,제32조제1항,100,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-주거,제2종전용주거지역,50,% 이하,제32조제1항,150,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-주거,제1종일반주거지역,60,% 이하,제32조제1항,200,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-주거,제2종일반주거지역,60,% 이하,제32조제1항,250,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-주거,제3종일반주거지역,50,% 이하,제32조제1항,300,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-주거,준주거지역,70,% 이하,제32조제1항,500,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-상업,중심상업지역,90,% 이하,제32조제1항,1500,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-상업,일반상업지역,80,% 이하,제32조제1항,1300,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-상업,근린상업지역,70,% 이하,제32조제1항,900,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-상업,유통상업지역,80,% 이하,제32조제1항,1100,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-공업,전용공업지역,70,% 이하,제32조제1항,300,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-공업,일반공업지역,70,% 이하,제32조제1항,350,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-공업,준공업지역,70,% 이하,제32조제1항,400,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-녹지,보전녹지지역,20,% 이하,제32조제1항,80,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-녹지,생산녹지지역,20,% 이하,제32조제1항,100,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,도시지역-녹지,자연녹지지역,20,% 이하,제32조제1항,100,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,관리지역,보전관리지역,20,% 이하,제32조제1항,80,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,관리지역,생산관리지역,20,% 이하,제32조제1항,80,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,관리지역,계획관리지역,40,% 이하,제32조제1항,100,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,농림지역,농림지역,20,% 이하,제32조제1항,80,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
산청군,경남,자연환경보전지역,자연환경보전지역,20,% 이하,제32조제1항,80,% 이하,제36조제1항,2025.11.27,2839,2026-09-21
함양군,경남,도시지역-주거,제1종전용주거지역,50,% 이하,제29조제1항,80,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-주거,제2종전용주거지역,50,% 이하,제29조제1항,120,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-주거,제1종일반주거지역,60,% 이하,제29조제1항,200,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-주거,제2종일반주거지역,60,% 이하,제29조제1항,250,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-주거,제3종일반주거지역,50,% 이하,제29조제1항,300,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-주거,준주거지역,70,% 이하,제29조제1항,500,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-상업,중심상업지역,90,% 이하,제29조제1항,1000,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-상업,일반상업지역,80,% 이하,제29조제1항,800,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-상업,근린상업지역,70,% 이하,제29조제1항,600,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-상업,유통상업지역,80,% 이하,제29조제1항,600,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-공업,전용공업지역,70,% 이하,제29조제1항,300,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-공업,일반공업지역,70,% 이하,제29조제1항,350,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-공업,준공업지역,70,% 이하,제29조제1항,400,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-녹지,보전녹지지역,20,% 이하,제29조제1항,80,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-녹지,생산녹지지역,20,% 이하,제29조제1항,100,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,도시지역-녹지,자연녹지지역,20,% 이하,제29조제1항,100,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,관리지역,보전관리지역,20,% 이하,제29조제1항,80,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,관리지역,생산관리지역,20,% 이하,제29조제1항,80,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,관리지역,계획관리지역,40,% 이하,제29조제1항,100,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,농림지역,농림지역,20,% 이하,제29조제1항,80,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
함양군,경남,자연환경보전지역,자연환경보전지역,20,% 이하,제29조제1항,80,% 이하,제30조제1항,2026.8.6,2835,2026-09-21
용인시,경기,도시지역-주거,제1종전용주거지역,50,% 이하,제50조제1항,100,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-주거,제2종전용주거지역,50,% 이하,제50조제1항,150,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-주거,제1종일반주거지역,60,% 이하,제50조제1항,200,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-주거,제2종일반주거지역,60,% 이하,제50조제1항,240,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-주거,제3종일반주거지역,50,% 이하,제50조제1항,290,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-주거,준주거지역,70,% 이하,제50조제1항,450,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-상업,중심상업지역,90,% 이하,제50조제1항,1100,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-상업,일반상업지역,80,% 이하,제50조제1항,900,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-상업,근린상업지역,70,% 이하,제50조제1항,700,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-상업,유통상업지역,80,% 이하,제50조제1항,800,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-공업,전용공업지역,70,% 이하,제50조제1항,250,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-공업,일반공업지역,70,% 이하,제50조제1항,300,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-공업,준공업지역,70,% 이하,제50조제1항,350,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-녹지,보전녹지지역,20,% 이하,제50조제1항,70,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-녹지,생산녹지지역,20,% 이하,제50조제1항,100,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,도시지역-녹지,자연녹지지역,20,% 이하,제50조제1항,100,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,관리지역,보전관리지역,20,% 이하,제50조제1항,80,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,관리지역,생산관리지역,20,% 이하,제50조제1항,80,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,관리지역,계획관리지역,40,% 이하,제50조제1항,100,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,농림지역,농림지역,20,% 이하,제50조제1항,70,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
용인시,경기,자연환경보전지역,자연환경보전지역,20,% 이하,제50조제1항,70,% 이하,제55조제1항,2025.12.31,2714,2026-09-21
성남시,경기,도시지역-주거,제1종전용주거지역,50,% 이하,제66조제1항,100,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-주거,제2종전용주거지역,50,% 이하,제66조제1항,120,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-주거,제1종일반주거지역,60,% 이하,제66조제1항,160,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-주거,제2종일반주거지역,60,% 이하,제66조제1항,210,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-주거,제3종일반주거지역,50,% 이하,제66조제1항,280,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-주거,준주거지역,70,% 이하,제66조제1항,400,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-상업,중심상업지역,80,% 이하,제66조제1항,1000,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-상업,일반상업지역,80,% 이하,제66조제1항,800,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-상업,근린상업지역,70,% 이하,제66조제1항,600,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-상업,유통상업지역,80,% 이하,제66조제1항,600,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-공업,전용공업지역,70,% 이하,제66조제1항,300,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-공업,일반공업지역,70,% 이하,제66조제1항,350,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-공업,준공업지역,70,% 이하,제66조제1항,400,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-녹지,보전녹지지역,20,% 이하,제66조제1항,70,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-녹지,생산녹지지역,20,% 이하,제66조제1항,50,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
성남시,경기,도시지역-녹지,자연녹지지역,20,% 이하,제66조제1항,100,% 이하,제67조제1항,2026.2.24,4356,2026-09-21
거창군,경남,도시지역-주거,제1종전용주거지역,40,% 이하,제53조제1항,80,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-주거,제2종전용주거지역,40,% 이하,제53조제1항,120,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-주거,제1종일반주거지역,60,% 이하,제53조제1항,200,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-주거,제2종일반주거지역,60,% 이하,제53조제1항,250,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-주거,제3종일반주거지역,50,% 이하,제53조제1항,300,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-주거,준주거지역,70,% 이하,제53조제1항,400,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-상업,중심상업지역,90,% 이하,제53조제1항,1000,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-상업,일반상업지역,80,% 이하,제53조제1항,800,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-상업,근린상업지역,70,% 이하,제53조제1항,600,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-상업,유통상업지역,80,% 이하,제53조제1항,600,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-공업,전용공업지역,70,% 이하,제53조제1항,250,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
거창군,경남,도시지역-공업,일반공업지역,70,% 이하,제53조제1항,300,% 이하,제58조제1항,2025.12.31,3010,2026-09-21
